learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
1000000.0,1.769448,3.489942898352941E-9,1000000.0,73.62610000000001,44.38063721522778,1000000.0,7624.0
2000000.0,3.471938,6.847822239829435E-9,2000000.0,73.6308,44.42762111729365,2000000.0,7624.0
3000000.0,5.133235,1.0124455216444201E-8,3000000.0,73.63680000000001,44.44109643684232,3000000.0,7624.0
4000000.0,6.812576,1.343667699231042E-8,4000000.0,73.6564,44.47869670514588,4000000.0,7624.0
5000000.0,8.488887,1.6742922595391673E-8,5000000.0,73.65006,44.4685446885417,5000000.0,7624.0
6000000.0,10.143173,2.0005727536562417E-8,6000000.0,73.65196666666667,44.471367551266724,6000000.0,7624.0
7000000.0,11.825343,2.3323529046028852E-8,7000000.0,73.65567142857142,44.47796913212746,7000000.0,7624.0
8000000.0,13.524524,2.6674881933463945E-8,8000000.0,73.6508125,44.47271752111918,8000000.0,7624.0
9000000.0,15.197553,2.9974654335528614E-8,9000000.0,73.6456,44.4624528594461,9000000.0,7624.0
1.0E7,16.86519,3.3263791911303996E-8,1.0E7,73.64807,44.47184009131169,1.0E7,7624.0
1.1E7,18.536508,3.65601896494627E-8,1.1E7,73.64502727272728,44.46570045734936,1.1E7,7624.0
1.2E7,20.187045,3.981560030952096E-8,1.2E7,73.64808333333333,44.47635180562431,1.2E7,7624.0
1.3E7,21.830803,4.305764051568177E-8,1.3E7,73.64743076923077,44.4757580758526,1.3E7,7624.0
1.4E7,23.482921,4.6316169436193176E-8,1.4E7,73.64893571428571,44.4757923936653,1.4E7,7624.0
1.5E7,25.137778,4.958010058022208E-8,1.5E7,73.65433999999999,44.487828333783284,1.5E7,7624.0
1.6E7,26.784832,5.2828641600079007E-8,1.6E7,73.65105625,44.480308193901344,1.6E7,7624.0
1.7E7,28.458865,5.613039422573315E-8,1.7E7,73.65147058823528,44.479871561911736,1.7E7,7624.0
1.8E7,30.102557,5.93723042578333E-8,1.8E7,73.65891111111111,44.49637553253499,1.8E7,7624.0
1.9E7,31.763466,6.264817196875811E-8,1.9E7,73.65575789473684,44.48811122116402,1.9E7,7624.0
2.0E7,33.459939,6.599418377503753E-8,2.0E7,73.65375,44.48565403217537,2.0E7,7624.0
2.1E7,35.131714,6.92914828699496E-8,2.1E7,73.65414761904762,44.485473050203794,2.1E7,7624.0
2.2E7,36.796768,7.257552590635087E-8,2.2E7,73.65408181818182,44.48592633026692,2.2E7,7624.0
2.3E7,38.447747,7.583180833814873E-8,2.3E7,73.65103913043478,44.482132774910184,2.3E7,7624.0
2.4E7,40.091203,7.907325289936529E-8,2.4E7,73.65316666666666,44.48536818626182,2.4E7,7624.0
2.5E7,41.742895,8.233094160548514E-8,2.5E7,73.650644,44.48117888848023,2.5E7,7624.0
2.6E7,43.39257,8.558465211341778E-8,2.6E7,73.65203461538462,44.48460993810055,2.6E7,7624.0
2.7E7,45.059688,8.887276604771613E-8,2.7E7,73.64948518518518,44.48170446457795,2.7E7,7624.0
2.8E7,46.711638,9.213096361607313E-8,2.8E7,73.64842857142857,44.48024976966652,2.8E7,7624.0
2.9E7,48.371033,9.540384521293971E-8,2.9E7,73.65019655172414,44.48286827268404,2.9E7,7624.0
3.0E7,50.025044,9.866610776219103E-8,3.0E7,73.64921333333334,44.48160678262268,3.0E7,7624.0
3.1E7,51.677972,1.0192623427344693E-7,3.1E7,73.65007419354839,44.48483805050369,3.1E7,7624.0
3.2E7,53.317848,1.0516061787803967E-7,3.2E7,73.649178125,44.48285330803075,3.2E7,7624.0
3.3E7,55.027636,1.0853289131489064E-7,3.3E7,73.64937272727273,44.4841048536466,3.3E7,7624.0
3.4E7,56.705511,1.1184222164874274E-7,3.4E7,73.6503,44.48738536327818,3.4E7,7624.0
3.5E7,58.391377,1.1516731290560629E-7,3.5E7,73.64997714285715,44.48721375805113,3.5E7,7624.0
3.6E7,60.070234,1.1847858007169432E-7,3.6E7,73.65273611111111,44.49135007784356,3.6E7,7624.0
3.7E7,61.746037,1.2178382372897532E-7,3.7E7,73.65138918918919,44.489405680136215,3.7E7,7624.0
3.8E7,63.435381,1.2511577476436893E-7,3.8E7,73.65468684210526,44.49633428089702,3.8E7,7624.0
3.9E7,65.113927,1.2842642853450445E-7,3.9E7,73.6548641025641,44.496534101718,3.9E7,7624.0
4.0E7,66.811008,1.3177363952000937E-7,4.0E7,73.6557775,44.497949686301254,4.0E7,7624.0
4.1E7,68.455144,1.350164252685176E-7,4.1E7,73.65573902439024,44.49793966812437,4.1E7,7624.0
4.2E7,70.171298,1.3840125458521977E-7,4.2E7,73.65543095238095,44.497173686008125,4.2E7,7624.0
4.3E7,71.843784,1.4169995600978535E-7,4.3E7,73.65775813953488,44.501401164345125,4.3E7,7624.0
4.4E7,73.481971,1.449310083418257E-7,4.4E7,73.66082727272727,44.50736637061017,4.4E7,7624.0
4.5E7,75.158406,1.4823749851435426E-7,4.5E7,73.6603288888889,44.50678829370122,4.5E7,7624.0
4.6E7,76.927091,1.5172593652167258E-7,4.6E7,73.66072608695652,44.50704335083323,4.6E7,7624.0
4.7E7,78.662031,1.5514781810964152E-7,4.7E7,73.66098936170212,44.50678365566957,4.7E7,7624.0
